EBn,ALL,CHINA,INDIA,MEXICO,PHILIPPINES,state,date,CENTRALAMERICA,VIETNAM
Religious Workers,2016-3-1,2016-3-1,2016-3-1,2016-3-1,2016-3-1,final,2016-3-1,,
5th non-regional,2016-3-1,2014-1-22,2016-3-1,2016-3-1,2016-3-1,final,2016-3-1,,
5th regional,2016-3-1,2014-1-22,2016-3-1,2016-3-1,2016-3-1,final,2016-3-1,,
1st,2016-3-1,2016-3-1,2016-3-1,2016-3-1,2016-3-1,filing,2016-3-1,,
2nd,2016-3-1,2013-6-01,2009-7-01,2016-3-1,2016-3-1,filing,2016-3-1,,
3rd,2016-3-1,2015-5-01,2005-7-01,2016-3-1,2010-1-01,filing,2016-3-1,,
Other Workers,2016-3-1,2007-8-01,2005-7-01,2016-3-1,2010-1-01,filing,2016-3-1,,
4th,2016-3-1,2016-3-1,2016-3-1,2016-3-1,2016-3-1,filing,2016-3-1,,
Religious Workers,2016-3-1,2016-3-1,2016-3-1,2016-3-1,2016-3-1,filing,2016-3-1,,
5th non-regional,2016-3-1,2015-5-01,2016-3-1,2016-3-1,2016-3-1,filing,2016-3-1,,
5th regional,2016-3-1,2015-5-01,2016-3-1,2016-3-1,2016-3-1,filing,2016-3-1,,
1st,2016-4-1,2016-4-1,2016-4-1,2016-4-1,2016-4-1,final,2016-4-1,,
2nd,2016-4-1,2012-9-01,2008-11-08,2016-4-1,2016-4-1,final,2016-4-1,,
3rd,2016-2-15,2013-8-15,2004-8-08,2016-2-15,2008-5-01,final,2016-4-1,,
Other Workers,2016-2-15,2007-3-01,2004-8-08,2016-2-15,2008-5-01,final,2016-4-1,,
4th,2016-4-1,2016-4-1,2016-4-1,2016-4-1,2016-4-1,final,2016-4-1,,
Religious Workers,2016-4-1,2016-4-1,2016-4-1,2016-4-1,2016-4-1,final,2016-4-1,,
5th non-regional,2016-4-1,2014-2-01,2016-4-1,2016-4-1,2016-4-1,final,2016-4-1,,
5th regional,2016-4-1,2014-2-01,2016-4-1,2016-4-1,2016-4-1,final,2016-4-1,,
1st,2016-4-1,2016-4-1,2016-4-1,2016-4-1,2016-4-1,filing,2016-4-1,,
2nd,2016-4-1,2013-6-01,2009-7-01,2016-4-1,2016-4-1,filing,2016-4-1,,
3rd,2016-4-1,2015-5-01,2005-7-01,2016-4-1,2010-1-01,filing,2016-4-1,,
Other Workers,2016-4-1,2007-8-01,2005-7-01,2016-4-1,2010-1-01,filing,2016-4-1,,
4th,2016-4-1,2016-4-1,2016-4-1,2016-4-1,2016-4-1,filing,2016-4-1,,
Religious Workers,2016-4-1,2016-4-1,2016-4-1,2016-4-1,2016-4-1,filing,2016-4-1,,
5th non-regional,2016-4-1,2015-5-01,2016-4-1,2016-4-1,2016-4-1,filing,2016-4-1,,
5th regional,2016-4-1,2015-5-01,2016-4-1,2016-4-1,2016-4-1,filing,2016-4-1,,
1st,2016-5-1,2016-5-1,2016-5-1,2016-5-1,2016-5-1,final,2016-5-1,2016-5-1,
2nd,2016-5-1,2012-9-01,2008-11-22,2016-5-1,2016-5-1,final,2016-5-1,2016-5-1,
3rd,2016-2-15,2013-8-15,2004-9-01,2016-2-15,2008-8-08,final,2016-5-1,2016-2-15,
Other Workers,2016-2-15,2007-4-22,2004-9-01,2016-2-15,2008-8-08,final,2016-5-1,2016-2-15,
4th,2016-5-1,2016-5-1,2016-5-1,2016-5-1,2016-5-1,final,2016-5-1,2010-1-01,
Religious Workers,2016-5-1,2016-5-1,2016-5-1,2016-5-1,2016-5-1,final,2016-5-1,2010-1-01,
5th non-regional,2016-5-1,2014-2-08,2016-5-1,2016-5-1,2016-5-1,final,2016-5-1,2016-5-1,
5th regional,2016-5-1,2014-2-08,2016-5-1,2016-5-1,2016-5-1,final,2016-5-1,2016-5-1,
1st,2016-5-1,2016-5-1,2016-5-1,2016-5-1,2016-5-1,filing,2016-5-1,,
2nd,2016-5-1,2013-6-01,2009-7-01,2016-5-1,2016-5-1,filing,2016-5-1,,
3rd,2016-5-1,2015-5-01,2005-7-01,2016-5-1,2010-1-01,filing,2016-5-1,,
Other Workers,2016-5-1,2008-4-01,2005-7-01,2016-5-1,2010-1-01,filing,2016-5-1,,
4th,2016-5-1,2016-5-1,2016-5-1,2016-5-1,2016-5-1,filing,2016-5-1,,
Religious Workers,2016-5-1,2016-5-1,2016-5-1,2016-5-1,2016-5-1,filing,2016-5-1,,
5th non-regional,2016-5-1,2015-5-01,2016-5-1,2016-5-1,2016-5-1,filing,2016-5-1,,
5th regional,2016-5-1,2015-5-01,2016-5-1,2016-5-1,2016-5-1,filing,2016-5-1,,
1st,2016-6-1,2016-6-1,2016-6-1,2016-6-1,2016-6-1,final,2016-6-1,2016-6-1,
2nd,2016-6-1,2010-1-01,2004-10-01,2016-6-1,2016-6-1,final,2016-6-1,2016-6-1,
3rd,2016-2-15,2010-1-01,2004-9-22,2016-2-15,2008-11-01,final,2016-6-1,2016-2-15,
Other Workers,2016-2-15,2007-4-22,2004-9-22,2016-2-15,2008-11-01,final,2016-6-1,2016-2-15,
4th,2016-6-1,2016-6-1,2016-6-1,2016-6-1,2016-6-1,final,2016-6-1,2010-1-01,
Religious Workers,2016-6-1,2016-6-1,2016-6-1,2016-6-1,2016-6-1,final,2016-6-1,2010-1-01,
5th non-regional,2016-6-1,2014-2-15,2016-6-1,2016-6-1,2016-6-1,final,2016-6-1,2016-6-1,
5th regional,2016-6-1,2014-2-15,2016-6-1,2016-6-1,2016-6-1,final,2016-6-1,2016-6-1,
1st,2016-6-1,2016-6-1,2016-6-1,2016-6-1,2016-6-1,filing,2016-6-1,,
2nd,2016-6-1,2013-6-01,2009-7-01,2016-6-1,2016-6-1,filing,2016-6-1,,
3rd,2016-6-1,2015-5-01,2005-7-01,2016-6-1,2010-1-01,filing,2016-6-1,,
Other Workers,2016-6-1,2009-8-01,2005-7-01,2016-6-1,2010-1-01,filing,2016-6-1,,
4th,2016-6-1,2016-6-1,2016-6-1,2016-6-1,2016-6-1,filing,2016-6-1,,
Religious Workers,2016-6-1,2016-6-1,2016-6-1,2016-6-1,2016-6-1,filing,2016-6-1,,
5th non-regional,2016-6-1,2015-5-01,2016-6-1,2016-6-1,2016-6-1,filing,2016-6-1,,
5th regional,2016-6-1,2015-5-01,2016-6-1,2016-6-1,2016-6-1,filing,2016-6-1,,
1st,2016-7-1,2016-7-1,2016-7-1,2016-7-1,2016-7-1,final,2016-7-1,2016-7-1,
2nd,2016-7-1,2010-1-01,2004-11-01,2016-7-1,2016-7-1,final,2016-7-1,2016-7-1,
3rd,2016-3-01,2010-1-01,2004-10-22,2016-3-01,2009-2-15,final,2016-7-1,2016-3-01,
Other Workers,2016-3-01,2004-1-01,2004-10-22,2016-3-01,2009-2-15,final,2016-7-1,2016-3-01,
4th,2016-7-1,2016-7-1,2016-7-1,2010-1-01,2016-7-1,final,2016-7-1,2010-1-01,
Religious Workers,2016-7-1,2016-7-1,2016-7-1,2010-1-01,2016-7-1,final,2016-7-1,2010-1-01,
5th non-regional,2016-7-1,2014-2-15,2016-7-1,2016-7-1,2016-7-1,final,2016-7-1,2016-7-1,
5th regional,2016-7-1,2014-2-15,2016-7-1,2016-7-1,2016-7-1,final,2016-7-1,2016-7-1,
1st,2016-7-1,2016-7-1,2016-7-1,2016-7-1,2016-7-1,filing,2016-7-1,,
2nd,2016-7-1,2013-6-01,2009-7-01,2016-7-1,2016-7-1,filing,2016-7-1,,
3rd,2016-7-1,2015-5-01,2005-7-01,2016-7-1,2010-1-01,filing,2016-7-1,,
Other Workers,2016-7-1,2009-8-01,2005-7-01,2016-7-1,2010-1-01,filing,2016-7-1,,
4th,2016-7-1,2016-7-1,2016-7-1,2016-7-1,2016-7-1,filing,2016-7-1,,
Religious Workers,2016-7-1,2016-7-1,2016-7-1,2016-7-1,2016-7-1,filing,2016-7-1,,
5th non-regional,2016-7-1,2015-5-01,2016-7-1,2016-7-1,2016-7-1,filing,2016-7-1,,
5th regional,2016-7-1,2015-5-01,2016-7-1,2016-7-1,2016-7-1,filing,2016-7-1,,
1st,2016-8-1,2010-1-01,2010-1-01,2016-8-1,2016-8-1,final,2016-8-1,2016-8-1,
2nd,2014-2-01,2010-1-01,2004-11-15,2014-2-01,2014-2-01,final,2016-8-1,2014-2-01,
3rd,2016-3-15,2010-1-01,2004-11-08,2016-3-15,2009-5-15,final,2016-8-1,2016-3-15,
Other Workers,2016-3-15,2004-1-01,2004-11-08,2016-3-15,2009-5-15,final,2016-8-1,2016-3-15,
4th,2016-8-1,2016-8-1,2010-1-01,2010-1-01,2016-8-1,final,2016-8-1,2010-1-01,
Religious Workers,2016-8-1,2016-8-1,2010-1-01,2010-1-01,2016-8-1,final,2016-8-1,2010-1-01,
5th non-regional,2016-8-1,2014-2-15,2016-8-1,2016-8-1,2016-8-1,final,2016-8-1,2016-8-1,
5th regional,2016-8-1,2014-2-15,2016-8-1,2016-8-1,2016-8-1,final,2016-8-1,2016-8-1,
1st,2016-8-1,2016-8-1,2016-8-1,2016-8-1,2016-8-1,filing,2016-8-1,,
2nd,2016-8-1,2013-6-01,2009-7-01,2016-8-1,2016-8-1,filing,2016-8-1,,
3rd,2016-8-1,2015-5-01,2005-7-01,2016-8-1,2013-1-01,filing,2016-8-1,,
Other Workers,2016-8-1,2009-8-01,2005-7-01,2016-8-1,2013-1-01,filing,2016-8-1,,
4th,2016-8-1,2016-8-1,2016-8-1,2016-8-1,2016-8-1,filing,2016-8-1,,
Religious Workers,2016-8-1,2016-8-1,2016-8-1,2016-8-1,2016-8-1,filing,2016-8-1,,
5th non-regional,2016-8-1,2015-5-01,2016-8-1,2016-8-1,2016-8-1,filing,2016-8-1,,
5th regional,2016-8-1,2015-5-01,2016-8-1,2016-8-1,2016-8-1,filing,2016-8-1,,
1st,2016-9-1,2010-1-01,2010-1-01,2016-9-1,2016-9-1,final,2016-9-1,2016-9-1,
2nd,2014-2-01,2010-1-01,2005-2-22,2014-2-01,2014-2-01,final,2016-9-1,2014-2-01,
3rd,2016-5-01,2010-1-01,2005-2-15,2016-5-01,2010-7-01,final,2016-9-1,2016-5-01,
Other Workers,2016-5-01,2004-1-01,2005-2-15,2016-5-01,2010-7-01,final,2016-9-1,2016-5-01,
4th,2016-9-1,2016-9-1,2010-1-01,2010-1-01,2016-9-1,final,2016-9-1,2010-1-01,
Religious Workers,2016-9-1,2016-9-1,2010-1-01,2010-1-01,2016-9-1,final,2016-9-1,2010-1-01,
5th non-regional,2016-9-1,2014-2-15,2016-9-1,2016-9-1,2016-9-1,final,2016-9-1,2016-9-1,
5th regional,2016-9-1,2014-2-15,2016-9-1,2016-9-1,2016-9-1,final,2016-9-1,2016-9-1,
1st,2016-9-1,2016-9-1,2016-9-1,2016-9-1,2016-9-1,filing,2016-9-1,,
2nd,2016-9-1,2013-6-01,2009-7-01,2016-9-1,2016-9-1,filing,2016-9-1,,
3rd,2016-9-1,2015-5-01,2005-7-01,2016-9-1,2013-1-01,filing,2016-9-1,,
Other Workers,2016-9-1,2009-8-01,2005-7-01,2016-9-1,2013-1-01,filing,2016-9-1,,
4th,2016-9-1,2016-9-1,2016-9-1,2016-9-1,2016-9-1,filing,2016-9-1,,
Religious Workers,2016-9-1,2016-9-1,2016-9-1,2016-9-1,2016-9-1,filing,2016-9-1,,
5th non-regional,2016-9-1,2015-5-01,2016-9-1,2016-9-1,2016-9-1,filing,2016-9-1,,
5th regional,2016-9-1,2015-5-01,2016-9-1,2016-9-1,2016-9-1,filing,2016-9-1,,
1st,2016-10-1,2016-10-1,2016-10-1,2016-10-1,2016-10-1,final,2016-10-1,2016-10-1,
2nd,2016-10-1,2012-2-15,2007-1-15,2016-10-1,2016-10-1,final,2016-10-1,2016-10-1,
3rd,2016-6-01,2013-1-22,2005-3-01,2016-6-01,2010-12-01,final,2016-10-1,2016-6-01,
Other Workers,2016-6-01,2005-1-01,2005-3-01,2016-6-01,2010-12-01,final,2016-10-1,2016-6-01,
4th,2016-10-1,2016-10-1,2016-10-1,2016-10-1,2016-10-1,final,2016-10-1,2015-6-15,
Religious Workers,,,,,,final,2016-10-1,,
5th non-regional,2016-10-1,2014-2-22,2016-10-1,2016-10-1,2016-10-1,final,2016-10-1,2016-10-1,
5th regional,,,,,,final,2016-10-1,,
1st,2016-10-1,2016-10-1,2016-10-1,2016-10-1,2016-10-1,filing,2016-10-1,,
2nd,2016-10-1,2013-3-01,2009-4-22,2016-10-1,2016-10-1,filing,2016-10-1,,
3rd,2016-10-1,2014-5-01,2005-7-01,2016-10-1,2013-9-01,filing,2016-10-1,,
Other Workers,2016-10-1,2009-8-01,2005-7-01,2016-10-1,2013-9-01,filing,2016-10-1,,
4th,2016-10-1,2016-10-1,2016-10-1,2016-10-1,2016-10-1,filing,2016-10-1,,
Religious Workers,2016-10-1,2016-10-1,2016-10-1,2016-10-1,2016-10-1,filing,2016-10-1,,
5th non-regional,2016-10-1,2014-6-15,2016-10-1,2016-10-1,2016-10-1,filing,2016-10-1,,
5th regional,2016-10-1,2014-6-15,2016-10-1,2016-10-1,2016-10-1,filing,2016-10-1,,
1st,2016-11-1,2016-11-1,2016-11-1,2016-11-1,2016-11-1,final,2016-11-1,2016-11-1,
2nd,2016-11-1,2012-7-15,2007-11-01,2016-11-1,2016-11-1,final,2016-11-1,2016-11-1,
3rd,2016-7-01,2013-4-15,2005-3-08,2016-7-01,2011-4-01,final,2016-11-1,2016-7-01,
Other Workers,2016-7-01,2005-9-01,2005-3-08,2016-7-01,2011-4-01,final,2016-11-1,2016-7-01,
4th,2016-11-1,2016-11-1,2016-11-1,2016-11-1,2016-11-1,final,2016-11-1,2015-7-15,
Religious Workers,2016-11-1,2016-11-1,2016-11-1,2016-11-1,2016-11-1,final,2016-11-1,2015-7-15,
5th non-regional,2016-11-1,2014-3-08,2016-11-1,2016-11-1,2016-11-1,final,2016-11-1,2016-11-1,
5th regional,2016-11-1,2014-3-08,2016-11-1,2016-11-1,2016-11-1,final,2016-11-1,2016-11-1,
1st,2016-11-1,2016-11-1,2016-11-1,2016-11-1,2016-11-1,filing,2016-11-1,,
2nd,2016-11-1,2013-3-01,2009-4-22,2016-11-1,2016-11-1,filing,2016-11-1,,
3rd,2016-11-1,2014-5-01,2005-7-01,2016-11-1,2013-9-01,filing,2016-11-1,,
Other Workers,2016-11-1,2009-8-01,2005-7-01,2016-11-1,2013-9-01,filing,2016-11-1,,
4th,2016-11-1,2016-11-1,2016-11-1,2016-11-1,2016-11-1,filing,2016-11-1,,
Religious Workers,2016-11-1,2016-11-1,2016-11-1,2016-11-1,2016-11-1,filing,2016-11-1,,
5th non-regional,2016-11-1,2014-6-15,2016-11-1,2016-11-1,2016-11-1,filing,2016-11-1,,
5th regional,2016-11-1,2014-6-15,2016-11-1,2016-11-1,2016-11-1,filing,2016-11-1,,
1st,2016-12-1,2016-12-1,2016-12-1,2016-12-1,2016-12-1,final,2016-12-1,2016-12-1,
2nd,2016-12-1,2012-9-22,2008-2-01,2016-12-1,2016-12-1,final,2016-12-1,2016-12-1,
3rd,2016-7-01,2013-7-01,2005-3-15,2016-7-01,2011-6-01,final,2016-12-1,2016-7-01,
Other Workers,2016-7-01,2005-11-01,2005-3-15,2016-7-01,2011-6-01,final,2016-12-1,2016-7-01,
4th,2016-12-1,2016-12-1,2016-12-1,2015-7-15,2016-12-1,final,2016-12-1,2015-7-15,
Religious Workers,2016-12-1,2016-12-1,2016-12-1,2015-7-15,2016-12-1,final,2016-12-1,2015-7-15,
5th non-regional,2016-12-1,2014-3-22,2016-12-1,2016-12-1,2016-12-1,final,2016-12-1,2016-12-1,
5th regional,2016-12-1,2014-3-22,2016-12-1,2016-12-1,2016-12-1,final,2016-12-1,2016-12-1,
1st,2016-12-1,2016-12-1,2016-12-1,2016-12-1,2016-12-1,filing,2016-12-1,,
2nd,2016-12-1,2013-3-01,2009-4-22,2016-12-1,2016-12-1,filing,2016-12-1,,
3rd,2016-12-1,2014-5-01,2005-7-01,2016-12-1,2013-9-01,filing,2016-12-1,,
Other Workers,2016-12-1,2009-8-01,2005-7-01,2016-12-1,2013-9-01,filing,2016-12-1,,
4th,2016-12-1,2016-12-1,2016-12-1,2016-12-1,2016-12-1,filing,2016-12-1,,
Religious Workers,2016-12-1,2016-12-1,2016-12-1,2016-12-1,2016-12-1,filing,2016-12-1,,
5th non-regional,2016-12-1,2014-6-15,2016-12-1,2016-12-1,2016-12-1,filing,2016-12-1,,
5th regional,2016-12-1,2014-6-15,2016-12-1,2016-12-1,2016-12-1,filing,2016-12-1,,
1st,2017-1-1,2017-1-1,2017-1-1,2017-1-1,2017-1-1,final,2017-1-1,2017-1-1,
2nd,2017-1-1,2012-10-15,2008-4-15,2017-1-1,2017-1-1,final,2017-1-1,2017-1-1,
3rd,2016-8-01,2013-9-08,2005-3-15,2016-8-01,2011-7-22,final,2017-1-1,2016-8-01,
Other Workers,2016-8-01,2005-12-01,2005-3-15,2016-8-01,2011-7-22,final,2017-1-1,2016-8-01,
4th,2017-1-1,2017-1-1,2017-1-1,2015-7-15,2017-1-1,final,2017-1-1,2015-7-15,
Religious Workers,2017-1-1,2017-1-1,2017-1-1,2015-7-15,2017-1-1,final,2017-1-1,2015-7-15,
5th non-regional,2017-1-1,2014-4-08,2017-1-1,2017-1-1,2017-1-1,final,2017-1-1,2017-1-1,
5th regional,2017-1-1,2014-4-08,2017-1-1,2017-1-1,2017-1-1,final,2017-1-1,2017-1-1,
1st,2017-1-1,2017-1-1,2017-1-1,2017-1-1,2017-1-1,filing,2017-1-1,,
2nd,2017-1-1,2013-3-01,2009-4-22,2017-1-1,2017-1-1,filing,2017-1-1,,
3rd,2017-1-1,2014-5-01,2005-7-01,2017-1-1,2013-9-01,filing,2017-1-1,,
Other Workers,2017-1-1,2009-8-01,2005-7-01,2017-1-1,2013-9-01,filing,2017-1-1,,
4th,2017-1-1,2017-1-1,2017-1-1,2017-1-1,2017-1-1,filing,2017-1-1,,
Religious Workers,2017-1-1,2017-1-1,2017-1-1,2017-1-1,2017-1-1,filing,2017-1-1,,
5th non-regional,2017-1-1,2014-6-15,2017-1-1,2017-1-1,2017-1-1,filing,2017-1-1,,
5th regional,2017-1-1,2014-6-15,2017-1-1,2017-1-1,2017-1-1,filing,2017-1-1,,
1st,2017-2-1,2017-2-1,2017-2-1,2017-2-1,2017-2-1,final,2017-2-1,2017-2-1,
2nd,2017-2-1,2012-11-15,2008-4-15,2017-2-1,2017-2-1,final,2017-2-1,2017-2-1,
3rd,2016-10-01,2013-10-01,2005-3-22,2016-10-01,2011-10-15,final,2017-2-1,2016-10-01,
Other Workers,2016-10-01,2005-12-01,2005-3-22,2016-10-01,2011-10-15,final,2017-2-1,2016-10-01,
4th,2017-2-1,2017-2-1,2017-2-1,2015-7-15,2017-2-1,final,2017-2-1,2015-7-15,
Religious Workers,2017-2-1,2017-2-1,2017-2-1,2015-7-15,2017-2-1,final,2017-2-1,2015-7-15,
5th non-regional,2017-2-1,2014-4-15,2017-2-1,2017-2-1,2017-2-1,final,2017-2-1,2017-2-1,
5th regional,2017-2-1,2014-4-15,2017-2-1,2017-2-1,2017-2-1,final,2017-2-1,2017-2-1,
1st,2017-2-1,2017-2-1,2017-2-1,2017-2-1,2017-2-1,filing,2017-2-1,,
2nd,2017-2-1,2013-3-01,2009-4-22,2017-2-1,2017-2-1,filing,2017-2-1,,
3rd,2017-2-1,2014-5-01,2005-7-01,2017-2-1,2013-9-01,filing,2017-2-1,,
Other Workers,2017-2-1,2009-8-01,2005-7-01,2017-2-1,2013-9-01,filing,2017-2-1,,
4th,2017-2-1,2017-2-1,2017-2-1,2017-2-1,2017-2-1,filing,2017-2-1,,
Religious Workers,2017-2-1,2017-2-1,2017-2-1,2017-2-1,2017-2-1,filing,2017-2-1,,
5th non-regional,2017-2-1,2014-6-15,2017-2-1,2017-2-1,2017-2-1,filing,2017-2-1,,
5th regional,2017-2-1,2014-6-15,2017-2-1,2017-2-1,2017-2-1,filing,2017-2-1,,
1st,2017-3-1,2017-3-1,2017-3-1,2017-3-1,2017-3-1,final,2017-3-1,2017-3-1,
2nd,2017-3-1,2012-12-15,2008-6-01,2017-3-1,2017-3-1,final,2017-3-1,2017-3-1,
3rd,2016-12-01,2014-3-15,2005-3-22,2016-12-01,2012-3-15,final,2017-3-1,2016-12-01,
Other Workers,2016-12-01,2006-2-01,2005-3-22,2016-12-01,2012-3-15,final,2017-3-1,2016-12-01,
4th,2017-3-1,2017-3-1,2017-3-1,2015-7-15,2017-3-1,final,2017-3-1,2015-7-15,
Religious Workers,2017-3-1,2017-3-1,2017-3-1,2015-7-15,2017-3-1,final,2017-3-1,2015-7-15,
5th non-regional,2017-3-1,2014-5-01,2017-3-1,2017-3-1,2017-3-1,final,2017-3-1,2017-3-1,
5th regional,2017-3-1,2014-5-01,2017-3-1,2017-3-1,2017-3-1,final,2017-3-1,2017-3-1,
1st,2017-3-1,2017-3-1,2017-3-1,2017-3-1,2017-3-1,filing,2017-3-1,,
2nd,2017-3-1,2013-3-01,2009-4-22,2017-3-1,2017-3-1,filing,2017-3-1,,
3rd,2017-3-1,2014-5-01,2005-7-01,2017-3-1,2013-9-01,filing,2017-3-1,,
Other Workers,2017-3-1,2009-8-01,2005-7-01,2017-3-1,2013-9-01,filing,2017-3-1,,
4th,2017-3-1,2017-3-1,2017-3-1,2017-3-1,2017-3-1,filing,2017-3-1,,
Religious Workers,2017-3-1,2017-3-1,2017-3-1,2017-3-1,2017-3-1,filing,2017-3-1,,
5th non-regional,2017-3-1,2014-6-15,2017-3-1,2017-3-1,2017-3-1,filing,2017-3-1,,
5th regional,2017-3-1,2014-6-15,2017-3-1,2017-3-1,2017-3-1,filing,2017-3-1,,
1st,2017-4-1,2017-4-1,2017-4-1,2017-4-1,2017-4-1,final,2017-4-1,2017-4-1,
2nd,2017-4-1,2013-1-15,2008-6-22,2017-4-1,2017-4-1,final,2017-4-1,2017-4-1,
3rd,2017-2-15,2014-8-15,2005-3-24,2017-2-15,2012-9-15,final,2017-4-1,2017-2-15,
Other Workers,2017-2-15,2006-3-01,2005-3-24,2017-2-15,2012-9-15,final,2017-4-1,2017-2-15,
4th,2017-4-1,2017-4-1,2017-4-1,2015-7-15,2017-4-1,final,2017-4-1,2015-7-15,
Religious Workers,2017-4-1,2017-4-1,2017-4-1,2015-7-15,2017-4-1,final,2017-4-1,2015-7-15,
5th non-regional,2017-4-1,2014-5-22,2017-4-1,2017-4-1,2017-4-1,final,2017-4-1,2017-4-1,
5th regional,2017-4-1,2014-5-22,2017-4-1,2017-4-1,2017-4-1,final,2017-4-1,2017-4-1,
1st,2017-4-1,2017-4-1,2017-4-1,2017-4-1,2017-4-1,filing,2017-4-1,,
2nd,2017-4-1,2013-3-01,2009-4-22,2017-4-1,2017-4-1,filing,2017-4-1,,
3rd,2017-4-1,2014-5-01,2005-7-01,2017-4-1,2013-9-01,filing,2017-4-1,,
Other Workers,2017-4-1,2009-8-01,2005-7-01,2017-4-1,2013-9-01,filing,2017-4-1,,
4th,2017-4-1,2017-4-1,2017-4-1,2017-4-1,2017-4-1,filing,2017-4-1,,
Religious Workers,2017-4-1,2017-4-1,2017-4-1,2017-4-1,2017-4-1,filing,2017-4-1,,
5th non-regional,2017-4-1,2014-6-15,2017-4-1,2017-4-1,2017-4-1,filing,2017-4-1,,
5th regional,2017-4-1,2014-6-15,2017-4-1,2017-4-1,2017-4-1,filing,2017-4-1,,
1st,2017-5-1,2017-5-1,2017-5-1,2017-5-1,2017-5-1,final,2017-5-1,2017-5-1,
2nd,2017-5-1,2013-2-08,2008-6-22,2017-5-1,2017-5-1,final,2017-5-1,2017-5-1,
3rd,2017-3-15,2014-10-01,2005-3-25,2017-3-15,2013-1-01,final,2017-5-1,2017-3-15,
Other Workers,2017-3-15,2006-3-08,2005-3-25,2017-3-15,2013-1-01,final,2017-5-1,2017-3-15,
4th,2017-5-1,2017-5-1,2017-5-1,2015-7-15,2017-5-1,final,2017-5-1,2015-7-15,
